split,city,sample,uav_height_m,alpha,beta_buildings_per_km2,gamma_mode_m,component_count,map_area_km2,mean_nonzero_height_m,mean_building_max_height_m,raw_environment,routed_environment,prototype_log_distance
train,Thane,sample_14601,72.91290283203125,0.08737731267740502,307.7870113881194,10.765923405141187,81,0.263169,17.973297119140625,14.160400396511879,suburban,suburban,0.9485081705768648
train,Thane,sample_14602,82.15865325927734,0.08737731267740502,307.7870113881194,10.765923405141187,81,0.263169,17.973297119140625,14.160400396511879,suburban,suburban,0.9485081705768648
train,Thane,sample_14603,159.52195739746094,0.08737731267740502,307.7870113881194,10.765923405141187,81,0.263169,17.973297119140625,14.160400396511879,suburban,suburban,0.9485081705768648
train,Thane,sample_14604,325.0492858886719,0.08737731267740502,307.7870113881194,10.765923405141187,81,0.263169,17.973297119140625,14.160400396511879,suburban,suburban,0.9485081705768648
train,Thane,sample_14605,25.898643493652344,0.08737731267740502,307.7870113881194,10.765923405141187,81,0.263169,17.973297119140625,14.160400396511879,suburban,suburban,0.9485081705768648
train,Thane,sample_14606,311.56488037109375,0.30188206057704364,1033.5563839205986,13.742658883289808,272,0.263169,17.882171630859375,17.336080821997978,urban,urban,0.7314377981949471
train,Thane,sample_14607,42.621421813964844,0.30188206057704364,1033.5563839205986,13.742658883289808,272,0.263169,17.882171630859375,17.336080821997978,urban,urban,0.7314377981949471
train,Thane,sample_14608,53.02798843383789,0.30188206057704364,1033.5563839205986,13.742658883289808,272,0.263169,17.882171630859375,17.336080821997978,urban,urban,0.7314377981949471
train,Thane,sample_14609,341.77117919921875,0.30188206057704364,1033.5563839205986,13.742658883289808,272,0.263169,17.882171630859375,17.336080821997978,urban,urban,0.7314377981949471
train,Thane,sample_14610,89.10887908935547,0.30188206057704364,1033.5563839205986,13.742658883289808,272,0.263169,17.882171630859375,17.336080821997978,urban,urban,0.7314377981949471
train,Thane,sample_14611,46.49063491821289,0.3394016772492201,748.5684104130806,17.22864072939119,197,0.263169,21.494609832763672,21.067158063656183,urban,urban,0.4441540852739491
train,Thane,sample_14612,61.6787109375,0.3394016772492201,748.5684104130806,17.22864072939119,197,0.263169,21.494609832763672,21.067158063656183,urban,urban,0.4441540852739491
train,Thane,sample_14613,51.76567077636719,0.3394016772492201,748.5684104130806,17.22864072939119,197,0.263169,21.494609832763672,21.067158063656183,urban,urban,0.4441540852739491
train,Thane,sample_14614,54.04591369628906,0.3394016772492201,748.5684104130806,17.22864072939119,197,0.263169,21.494609832763672,21.067158063656183,urban,urban,0.4441540852739491
train,Thane,sample_14615,146.24461364746094,0.3394016772492201,748.5684104130806,17.22864072939119,197,0.263169,21.494609832763672,21.067158063656183,urban,urban,0.4441540852739491
