split,city,sample,uav_height_m,alpha,beta_buildings_per_km2,gamma_mode_m,component_count,map_area_km2,mean_nonzero_height_m,raw_environment,routed_environment,prototype_log_distance
train,Thane,sample_14601,72.91290283203125,0.08737731267740502,307.7870113881194,10.192093866961509,81,0.263169,17.973297119140625,suburban,suburban,0.9328121326207165
train,Thane,sample_14602,82.15865325927734,0.08737731267740502,307.7870113881194,10.192093866961509,81,0.263169,17.973297119140625,suburban,suburban,0.9328121326207165
train,Thane,sample_14603,159.52195739746094,0.08737731267740502,307.7870113881194,10.192093866961509,81,0.263169,17.973297119140625,suburban,suburban,0.9328121326207165
train,Thane,sample_14604,325.0492858886719,0.08737731267740502,307.7870113881194,10.192093866961509,81,0.263169,17.973297119140625,suburban,suburban,0.9328121326207165
train,Thane,sample_14605,25.898643493652344,0.08737731267740502,307.7870113881194,10.192093866961509,81,0.263169,17.973297119140625,suburban,suburban,0.9328121326207165
train,Thane,sample_14606,311.56488037109375,0.30188206057704364,1033.5563839205986,12.401540745711044,272,0.263169,17.882171630859375,urban,urban,0.7506825615853304
train,Thane,sample_14607,42.621421813964844,0.30188206057704364,1033.5563839205986,12.401540745711044,272,0.263169,17.882171630859375,urban,urban,0.7506825615853304
train,Thane,sample_14608,53.02798843383789,0.30188206057704364,1033.5563839205986,12.401540745711044,272,0.263169,17.882171630859375,urban,urban,0.7506825615853304
train,Thane,sample_14609,341.77117919921875,0.30188206057704364,1033.5563839205986,12.401540745711044,272,0.263169,17.882171630859375,urban,urban,0.7506825615853304
train,Thane,sample_14610,89.10887908935547,0.30188206057704364,1033.5563839205986,12.401540745711044,272,0.263169,17.882171630859375,urban,urban,0.7506825615853304
train,Thane,sample_14611,46.49063491821289,0.3394016772492201,748.5684104130806,15.273438078421021,197,0.263169,21.494609832763672,urban,urban,0.42238677516123996
train,Thane,sample_14612,61.6787109375,0.3394016772492201,748.5684104130806,15.273438078421021,197,0.263169,21.494609832763672,urban,urban,0.42238677516123996
train,Thane,sample_14613,51.76567077636719,0.3394016772492201,748.5684104130806,15.273438078421021,197,0.263169,21.494609832763672,urban,urban,0.42238677516123996
train,Thane,sample_14614,54.04591369628906,0.3394016772492201,748.5684104130806,15.273438078421021,197,0.263169,21.494609832763672,urban,urban,0.42238677516123996
train,Thane,sample_14615,146.24461364746094,0.3394016772492201,748.5684104130806,15.273438078421021,197,0.263169,21.494609832763672,urban,urban,0.42238677516123996
train,Thane,sample_14616,47.61223220825195,0.3681854625734794,1139.951894030072,15.196084961992042,300,0.263169,20.89838409423828,urban,urban,0.8492991745091365
train,Thane,sample_14617,252.8347930908203,0.3681854625734794,1139.951894030072,15.196084961992042,300,0.263169,20.89838409423828,urban,urban,0.8492991745091365
train,Thane,sample_14618,106.62083435058594,0.3681854625734794,1139.951894030072,15.196084961992042,300,0.263169,20.89838409423828,urban,urban,0.8492991745091365
train,Thane,sample_14619,51.75123596191406,0.3681854625734794,1139.951894030072,15.196084961992042,300,0.263169,20.89838409423828,urban,urban,0.8492991745091365
train,Thane,sample_14620,250.10488891601562,0.3681854625734794,1139.951894030072,15.196084961992042,300,0.263169,20.89838409423828,urban,urban,0.8492991745091365
train,Athens,sample_01726,42.483150482177734,0.6155626232572985,303.98717174135254,12.294012267130498,80,0.263169,17.187124252319336,dense_urban,dense_urban,0.5293463705762375
train,Athens,sample_01727,244.65487670898438,0.6155626232572985,303.98717174135254,12.294012267130498,80,0.263169,17.187124252319336,dense_urban,dense_urban,0.5293463705762375
train,Athens,sample_01728,123.78569030761719,0.6155626232572985,303.98717174135254,12.294012267130498,80,0.263169,17.187124252319336,dense_urban,dense_urban,0.5293463705762375
train,Athens,sample_01729,140.70993041992188,0.6155626232572985,303.98717174135254,12.294012267130498,80,0.263169,17.187124252319336,dense_urban,dense_urban,0.5293463705762375
